,Trading Session,Strategy Equity Portfolio
0,0,1.007113510445786
1,1,1.006603678361845
2,2,1.0155878205990723
3,3,1.0353199799110289
4,4,1.0336045583532756
5,5,1.031892182711142
6,6,1.0526368214232833
7,7,1.0635444098092606
8,8,1.0587789310449802
9,9,1.066893053986933
10,10,1.0621901129043543
11,11,1.057478432546359
12,12,1.0617680809791243
13,13,1.0386147177927696
14,14,1.0183138783047194
15,15,1.0126169113929033
16,16,1.00147707950204
17,17,1.0064082611072986
18,18,0.9966024748907514
19,19,0.9808614339871544
20,20,0.9992434892053097
21,21,0.9976882916236077
22,22,0.9996470321608522
23,23,0.9837086222684497
24,24,0.978416612127974
25,25,0.9808470104264423
26,26,0.9684304854634015
27,27,0.973913077269246
28,28,0.9680163027083907
29,29,0.9657439963522112
30,30,0.9598843072442209
31,31,0.982326669986141
32,32,0.9833001300899411
33,33,0.9719532492129185
34,34,0.9826675559839256
35,35,0.96940431196594
36,36,0.9729516567997004
37,37,0.9511934407503359
38,38,0.9371297680021112
39,39,0.9404240372597376
40,40,0.9498419509930744
41,41,0.9528903357416505
42,42,0.9526665601386768
43,43,0.9503227110402523
44,44,0.9345575003714612
45,45,0.9275621600170428
46,46,0.9235043309787536
47,47,0.9362841600765726
48,48,0.9412243324465247
49,49,0.9223965126825017
50,50,0.9270471881584067
51,51,0.9238321451654625
52,52,0.9173929211182968
53,53,0.925184390640843
54,54,0.9376974492758854
55,55,0.9492576666518012
56,56,0.9407925003498153
57,57,0.9383863220181299
58,58,0.9431984625924925
59,59,0.9553275063720729
60,60,0.9509357222925843
61,61,0.9499134976670964
62,62,0.9383976212172186
63,63,0.926009328536461
64,64,0.9361058401908121
65,65,0.9524201251662483
66,66,0.9526952023378962
67,67,0.9652663350518111
68,68,0.9705681307748668
69,69,0.9641735460950339
70,70,0.9694665579211529
71,71,0.9884771954780627
72,72,0.9891918923064696
73,73,1.0089051656340071
74,74,0.978351480952827
75,75,0.9891287764939819
76,76,0.9913023923498222
77,77,0.9888884247122427
78,78,0.9911174483726103
79,79,0.9686211771545256
80,80,0.967184593734016
81,81,0.9724444254578998
82,82,0.9908116340293549
83,83,0.9857918830567047
84,84,0.9773643653765208
85,85,0.972606414990075
86,86,0.9844116840867948
87,87,0.9894301694960594
88,88,0.9842809949804197
89,89,0.9914782050679107
90,90,0.9937763238466775
91,91,1.0064734864210014
92,92,0.9991547166754648
93,93,0.9963780605726545
94,94,0.9928385697674238
95,95,0.9765468446180958
96,96,0.981142848998821
97,97,0.9853476385952135
98,98,0.9865441482915063
99,99,0.9849044083389366
100,100,0.9693118860285822
101,101,0.9655366069314967
102,102,0.9626789723585317
103,103,0.9545208585548507
104,104,0.9537739575037729
105,105,0.9594980804486484
106,106,0.9823218257694496
107,107,0.9855122836442036
108,108,0.9896943496619031
109,109,0.9899512640425003
110,110,0.9682987391764667
111,111,0.9691070498891194
112,112,0.9709248070148777
113,113,1.0007437001261512
114,114,0.9995874498940206
115,115,1.004356990125248
116,116,1.0050965979832336
117,117,0.9921598028306814
118,118,1.006910058458464
119,119,1.017156513161921
