,id,timestamp,sharpe_ratio,max_drawdown,tracking_jitter,oos_degradation,sortino,calmar,var_95,pareto_rank,dna_vector
0,14,2026-08-13 17:52:39,6.2409231122039746,0.46462882879268325,2.2460446472830347,0,2.877889234392321,29.23504910203058,0,0,"[1.0, 28.467769275694213, 0.0028776183823810454, 0.8347228681038342]"
1,9,2026-08-13 17:35:36,4.663458744691402,0.01285636328575146,2.2324436278871924,0,0,227.3145260947737,0,0,"[1.0, 21.236140972590853, 0.0035706870811207897, 0.7558258113814849]"
2,8,2026-08-13 17:28:21,4.1872469829216845,0.42405931435474853,2.2206887929672523,0,0.9929683963742735,17.815082722728643,0,0,"[1.0, 31.513702310146048, 0.003958948830984646, 0.8554288341122054]"
3,11,2026-08-13 17:52:22,3.104020043196524,0.0129083894662263,2.249520754657661,0,0,75.97208003863787,0,0,"[1.0, 17.35248477450896, 0.002251958691869951, 0.7626781059175783]"
4,5,2026-08-13 17:19:48,2.948888022565869,0.01334811443197692,2.2452532362130424,0,0,57.39129281112843,0,0,"[1.0, 22.178612190871284, 0.003123063606806227, 0.8183048859663322]"
5,13,2026-08-13 17:52:33,2.6024922849593195,0.014657646213045439,2.19570676617882,0,0,36.24943636548258,0,0,"[1.0, 25.446135264528294, 0.005986470553854824, 0.9651576257841841]"
6,1,2026-08-13 17:19:22,2.562178561193434,0.5469956630445688,2.2685233782148657,0,0.9389370324775413,9.723349747854513,0,0,"[1.0, 19.622090139093142, 0.0014949852795315996, 0.7712825279967509]"
7,7,2026-08-13 17:24:28,2.1441032612725266,0.01232493744376395,2.2618034023911826,0,0,25.57966585934716,0,0,"[1.0, 10.877844178483421, 0.0012399120625305505, 0.6818999110968066]"
8,2,2026-08-13 17:19:33,1.279345579437104,0.4025832990024739,2.212719570400147,0,0.5731939409330923,5.1843369055435815,0,0,"[1.0, 25.063669745001143, 0.0029479812063763398, 0.7038766833983223]"
9,3,2026-08-13 17:19:40,0,0,2.267167674373966,0,0,0,0,1,"[1.0, 20.875044199381357, 0.0047147141722511995, 0.44811403542967654]"
10,4,2026-08-13 17:19:44,0,0,2.1900808709841404,0,0,0,0,1,"[1.0, 25.13089586401201, 0.004427422006411328, 0.847170715677007]"
11,6,2026-08-13 17:19:52,0,0,2.2471401159694486,0,0,0,0,1,"[1.0, 24.838614549331126, 0.004853866850804868, 0.2777690528054314]"
12,10,2026-08-13 17:36:53,0,0,2.2299886089701317,0,0,0,0,1,"[1.0, 33.59607471967573, 0.004593823213305209, 0.8672240022103122]"
13,12,2026-08-13 17:52:28,0,0,2.240525326772558,0,0,0,0,1,"[1.0, 12.259315586487974, 0.0036598070198724936, 0.28668116263613497]"
14,15,2026-08-13 17:53:02,0,0,2.2353944097199028,0,0,0,0,1,"[1.0, 10.47051146113415, 0.0021729037053354883, 0.3380577275370447]"
